Fecha-I,Vlo-I,Ori-I,Des-I,Emp-I,Fecha-O,Vlo-O,Ori-O,Des-O,Emp-O,DIA,MES,AÑO,DIANOM,TIPOVUELO,OPERA,SIGLAORI,SIGLADES
2017-01-01 23:30:00,226,SCEL,KMIA,AAL,2017-01-01 23:33:00,226,SCEL,KMIA,AAL,1,1,2017,Domingo,I,American Airlines,Santiago,Miami
2017-01-02 23:30:00,226,SCEL,KMIA,AAL,2017-01-02 23:39:00,226,SCEL,KMIA,AAL,2,1,2017,Lunes,I,American Airlines,Santiago,Miami
2017-01-03 23:30:00,226,SCEL,KMIA,AAL,2017-01-03 23:39:00,226,SCEL,KMIA,AAL,3,1,2017,Martes,I,American Airlines,Santiago,Miami
2017-01-04 23:30:00,226,SCEL,KMIA,AAL,2017-01-04 23:33:00,226,SCEL,KMIA,AAL,4,1,2017,Miercoles,I,American Airlines,Santiago,Miami
2017-01-05 23:30:00,226,SCEL,KMIA,AAL,2017-01-05 23:28:00,226,SCEL,KMIA,AAL,5,1,2017,Jueves,I,American Airlines,Santiago,Miami
2017-01-06 23:30:00,226,SCEL,KMIA,AAL,2017-01-07 00:04:00,226,SCEL,KMIA,AAL,7,1,2017,Sabado,I,American Airlines,Santiago,Miami
2017-01-07 23:30:00,226,SCEL,KMIA,AAL,2017-01-07 23:25:00,226,SCEL,KMIA,AAL,7,1,2017,Sabado,I,American Airlines,Santiago,Miami
2017-01-08 23:30:00,226,SCEL,KMIA,AAL,2017-01-08 23:25:00,226,SCEL,KMIA,AAL,8,1,2017,Domingo,I,American Airlines,Santiago,Miami
2017-01-09 23:30:00,226,SCEL,KMIA,AAL,2017-01-10 00:10:00,226,SCEL,KMIA,AAL,10,1,2017,Martes,I,American Airlines,Santiago,Miami
2017-01-11 23:30:00,226,SCEL,KMIA,AAL,2017-01-12 00:39:00,226,SCEL,KMIA,AAL,12,1,2017,Jueves,I,American Airlines,Santiago,Miami
2017-01-14 23:30:00,226,SCEL,KMIA,AAL,2017-01-14 23:21:00,226,SCEL,KMIA,AAL,14,1,2017,Sabado,I,American Airlines,Santiago,Miami
2017-01-16 23:30:00,226,SCEL,KMIA,AAL,2017-01-16 23:44:00,226,SCEL,KMIA,AAL,16,1,2017,Lunes,I,American Airlines,Santiago,Miami
2017-01-18 23:30:00,226,SCEL,KMIA,AAL,2017-01-18 23:23:00,226,SCEL,KMIA,AAL,18,1,2017,Miercoles,I,American Airlines,Santiago,Miami
2017-01-21 23:30:00,226,SCEL,KMIA,AAL,2017-01-21 23:26:00,226,SCEL,KMIA,AAL,21,1,2017,Sabado,I,American Airlines,Santiago,Miami
2017-01-23 23:30:00,226,SCEL,KMIA,AAL,2017-01-23 23:19:00,226,SCEL,KMIA,AAL,23,1,2017,Lunes,I,American Airlines,Santiago,Miami
2017-01-25 23:30:00,226,SCEL,KMIA,AAL,2017-01-25 23:21:00,226,SCEL,KMIA,AAL,25,1,2017,Miercoles,I,American Airlines,Santiago,Miami
2017-01-28 23:30:00,226,SCEL,KMIA,AAL,2017-01-28 23:21:00,226,SCEL,KMIA,AAL,28,1,2017,Sabado,I,American Airlines,Santiago,Miami
2017-01-30 23:30:00,226,SCEL,KMIA,AAL,2017-01-30 23:18:00,226,SCEL,KMIA,AAL,30,1,2017,Lunes,I,American Airlines,Santiago,Miami
2017-01-01 22:00:00,912,SCEL,KMIA,AAL,2017-01-01 22:15:00,912,SCEL,KMIA,AAL,1,1,2017,Domingo,I,American Airlines,Santiago,Miami
2017-01-02 22:00:00,912,SCEL,KMIA,AAL,2017-01-02 21:58:00,912,SCEL,KMIA,AAL,2,1,2017,Lunes,I,American Airlines,Santiago,Miami
2017-01-03 22:00:00,912,SCEL,KMIA,AAL,2017-01-03 22:02:00,912,SCEL,KMIA,AAL,3,1,2017,Martes,I,American Airlines,Santiago,Miami
2017-01-04 22:00:00,912,SCEL,KMIA,AAL,2017-01-04 22:08:00,912,SCEL,KMIA,AAL,4,1,2017,Miercoles,I,American Airlines,Santiago,Miami
2017-01-05 22:00:00,912,SCEL,KMIA,AAL,2017-01-05 21:55:00,912,SCEL,KMIA,AAL,5,1,2017,Jueves,I,American Airlines,Santiago,Miami
2017-01-06 22:00:00,912,SCEL,KMIA,AAL,2017-01-06 22:52:00,912,SCEL,KMIA,AAL,6,1,2017,Viernes,I,American Airlines,Santiago,Miami
2017-01-07 22:00:00,912,SCEL,KMIA,AAL,2017-01-07 21:55:00,912,SCEL,KMIA,AAL,7,1,2017,Sabado,I,American Airlines,Santiago,Miami
2017-01-08 22:00:00,912,SCEL,KMIA,AAL,2017-01-08 22:00:00,912,SCEL,KMIA,AAL,8,1,2017,Domingo,I,American Airlines,Santiago,Miami
2017-01-09 22:00:00,912,SCEL,KMIA,AAL,2017-01-09 22:26:00,912,SCEL,KMIA,AAL,9,1,2017,Lunes,I,American Airlines,Santiago,Miami
2017-01-10 22:00:00,912,SCEL,KMIA,AAL,2017-01-10 21:57:00,912,SCEL,KMIA,AAL,10,1,2017,Martes,I,American Airlines,Santiago,Miami
2017-01-11 22:00:00,912,SCEL,KMIA,AAL,2017-01-11 21:55:00,912,SCEL,KMIA,AAL,11,1,2017,Miercoles,I,American Airlines,Santiago,Miami
2017-01-12 22:00:00,912,SCEL,KMIA,AAL,2017-01-12 22:02:00,912,SCEL,KMIA,AAL,12,1,2017,Jueves,I,American Airlines,Santiago,Miami
2017-01-13 22:00:00,912,SCEL,KMIA,AAL,2017-01-13 22:02:00,912,SCEL,KMIA,AAL,13,1,2017,Viernes,I,American Airlines,Santiago,Miami
2017-01-14 22:00:00,912,SCEL,KMIA,AAL,2017-01-14 21:53:00,912,SCEL,KMIA,AAL,14,1,2017,Sabado,I,American Airlines,Santiago,Miami
2017-01-15 22:00:00,912,SCEL,KMIA,AAL,2017-01-15 21:59:00,912,SCEL,KMIA,AAL,15,1,2017,Domingo,I,American Airlines,Santiago,Miami
2017-01-16 22:00:00,912,SCEL,KMIA,AAL,2017-01-16 22:05:00,912,SCEL,KMIA,AAL,16,1,2017,Lunes,I,American Airlines,Santiago,Miami
2017-01-17 22:00:00,912,SCEL,KMIA,AAL,2017-01-17 21:56:00,912,SCEL,KMIA,AAL,17,1,2017,Martes,I,American Airlines,Santiago,Miami
2017-01-18 22:00:00,912,SCEL,KMIA,AAL,2017-01-18 22:01:00,912,SCEL,KMIA,AAL,18,1,2017,Miercoles,I,American Airlines,Santiago,Miami
2017-01-19 22:00:00,912,SCEL,KMIA,AAL,2017-01-19 21:55:00,912,SCEL,KMIA,AAL,19,1,2017,Jueves,I,American Airlines,Santiago,Miami
2017-01-21 22:00:00,912,SCEL,KMIA,AAL,2017-01-21 22:03:00,912,SCEL,KMIA,AAL,21,1,2017,Sabado,I,American Airlines,Santiago,Miami
2017-01-22 22:00:00,912,SCEL,KMIA,AAL,2017-01-22 21:58:00,912,SCEL,KMIA,AAL,22,1,2017,Domingo,I,American Airlines,Santiago,Miami
2017-01-23 22:00:00,912,SCEL,KMIA,AAL,2017-01-23 21:56:00,912,SCEL,KMIA,AAL,23,1,2017,Lunes,I,American Airlines,Santiago,Miami
2017-01-24 22:00:00,912,SCEL,KMIA,AAL,2017-01-24 21:54:00,912,SCEL,KMIA,AAL,24,1,2017,Martes,I,American Airlines,Santiago,Miami
2017-01-25 22:00:00,912,SCEL,KMIA,AAL,2017-01-25 22:04:00,912,SCEL,KMIA,AAL,25,1,2017,Miercoles,I,American Airlines,Santiago,Miami
2017-01-26 22:00:00,912,SCEL,KMIA,AAL,2017-01-26 21:56:00,912,SCEL,KMIA,AAL,26,1,2017,Jueves,I,American Airlines,Santiago,Miami
2017-01-27 22:00:00,912,SCEL,KMIA,AAL,2017-01-27 21:56:00,912,SCEL,KMIA,AAL,27,1,2017,Viernes,I,American Airlines,Santiago,Miami
2017-01-28 22:00:00,912,SCEL,KMIA,AAL,2017-01-28 21:51:00,912,SCEL,KMIA,AAL,28,1,2017,Sabado,I,American Airlines,Santiago,Miami
2017-01-29 22:00:00,912,SCEL,KMIA,AAL,2017-01-29 21:50:00,912,SCEL,KMIA,AAL,29,1,2017,Domingo,I,American Airlines,Santiago,Miami
2017-01-30 22:00:00,912,SCEL,KMIA,AAL,2017-01-30 22:00:00,912,SCEL,KMIA,AAL,30,1,2017,Lunes,I,American Airlines,Santiago,Miami
2017-01-31 22:00:00,912,SCEL,KMIA,AAL,2017-01-31 21:58:00,912,SCEL,KMIA,AAL,31,1,2017,Martes,I,American Airlines,Santiago,Miami
